Date,Open,Close,Predicted_Open,%_error
01-01-2020,521.8990021,518.8540039,519.6522067,0.43%
02-01-2020,518.128956,522.5755615,523.3622049,-1.01%
03-01-2020,520.0623359,520.8839722,521.6758697,-0.31%
06-01-2020,519.3373814,508.1724854,509.0038656,1.99%
07-01-2020,513.5856864,505.4657898,506.3055772,1.42%
08-01-2020,498.7957984,508.4140625,509.2446924,-2.09%
09-01-2020,513.005721,528.0855713,528.8551002,-3.09%
10-01-2020,526.7323523,522.2373657,523.0250595,0.70%
13-01-2020,521.4157081,520.642334,521.4349821,0.00%
14-01-2020,518.3223725,519.6756592,520.4713098,-0.41%
15-01-2020,517.2589803,517.7423096,518.5439653,-0.25%
16-01-2020,516.099082,519.2407227,520.0377242,-0.76%
17-01-2020,516.6790555,514.31073,515.1230445,0.30%
20-01-2020,515.2290392,517.017334,517.8212416,-0.50%
21-01-2020,515.1807914,513.3441162,514.159433,0.20%
22-01-2020,513.7790398,505.4174194,506.2573571,1.46%
23-01-2020,504.0158665,510.1058044,510.9311797,-1.37%
24-01-2020,511.6040533,516.0506592,516.8575693,-1.03%
27-01-2020,520.5456034,519.3372803,520.1339819,0.08%
28-01-2020,520.1589344,510.5890503,511.4129246,1.68%
29-01-2020,513.8274839,509.042511,509.8711889,0.77%
30-01-2020,510.0574644,514.4557495,515.2676135,-1.02%
31-01-2020,512.3290871,508.1241455,508.9556759,0.66%
03-02-2020,487.1959744,498.3608704,499.2227262,-2.47%
04-02-2020,502.662515,513.102417,513.9184846,-2.24%
05-02-2020,511.4107035,521.1256104,521.9167573,-2.05%
06-02-2020,522.3339132,523.5422363,524.3258771,-0.38%
07-02-2020,522.9139281,518.5639648,519.3630685,0.68%
10-02-2020,520.6906458,516.1473389,516.9539487,0.72%
11-02-2020,519.7723898,521.7540283,522.5432234,-0.53%
12-02-2020,527.6022297,530.9855347,531.7460561,-0.79%
13-02-2020,530.6956107,522.9623413,523.7477833,1.31%
14-02-2020,523.2039492,527.6022339,528.3732641,-0.99%
17-02-2020,524.8955819,523.5422363,524.3258771,0.11%
18-02-2020,522.9623571,523.1557007,523.9405421,-0.19%
19-02-2020,525.3789757,526.6356201,527.4096527,-0.39%
20-02-2020,527.3122801,528.7622681,529.5296951,-0.42%
24-02-2020,521.5122998,512.184021,513.0029412,1.63%
25-02-2020,514.6974245,513.2474365,514.0630537,0.12%
26-02-2020,509.2840443,506.2391052,507.0764907,0.43%
27-02-2020,505.3690988,498.1674805,499.029937,1.25%
28-02-2020,484.8759916,480.6710205,481.5878222,0.68%
02-03-2020,491.3042317,489.2259216,490.1161512,0.24%
03-03-2020,492.8509031,497.5875244,498.4517823,-1.14%
04-03-2020,500.2458298,491.4009094,492.2843833,1.59%
05-03-2020,492.7542487,487.6792908,488.5743243,0.85%
06-03-2020,468.8294349,470.1344299,471.0839589,-0.48%
09-03-2020,459.162837,442.4879761,443.5233768,3.41%
11-03-2020,434.996401,450.1246033,451.1362841,-3.71%
12-03-2020,423.3964923,411.458252,412.5900331,2.55%
13-03-2020,387.6301225,432.2897644,433.3568415,-11.80%
16-03-2020,410.0565813,389.4667358,390.6668241,4.73%
17-03-2020,393.4300505,355.0053711,356.3124987,9.43%
18-03-2020,356.7937306,343.2121582,344.5559163,3.43%
19-03-2020,324.8939721,327.2622681,328.6555676,-1.16%
20-03-2020,317.0640202,334.1738892,335.5457207,-5.83%
23-03-2020,300.7758109,274.5310364,276.0881226,8.21%
24-03-2020,285.4542558,286.6142578,288.1338128,-0.94%
25-03-2020,274.5310442,306.3341064,307.7924102,-12.12%
26-03-2020,311.2640502,319.2389832,320.6572035,-3.02%
27-03-2020,343.9371393,328.5189514,329.9083476,4.08%
30-03-2020,319.0940486,302.9508362,304.4196486,4.60%
31-03-2020,313.8740565,312.955719,314.3934556,-0.17%
01-04-2020,308.3641251,300.7758484,302.2514165,1.98%
03-04-2020,299.1808039,277.0926514,278.6417811,6.87%
07-04-2020,298.0208451,315.2273865,316.6580671,-6.25%
08-04-2020,312.0857279,308.3157654,309.767914,0.74%
09-04-2020,321.3173241,331.2739258,332.6547648,-3.53%
13-04-2020,329.6789153,319.6256714,321.0426907,2.62%
15-04-2020,331.2739469,316.43573,317.8626574,4.05%
16-04-2020,314.4540192,330.597229,331.9801699,-5.57%
17-04-2020,349.9304133,363.0286255,364.3108323,-4.11%
20-04-2020,363.4636474,349.2537537,350.5787461,3.55%
21-04-2020,329.6305957,320.785675,322.1990913,2.25%
22-04-2020,315.1306977,324.7489624,326.1500684,-3.50%
23-04-2020,328.9055836,341.1821594,342.5322228,-4.14%
24-04-2020,326.6339354,323.6856384,325.0900472,0.47%
27-04-2020,327.9872669,336.3005371,337.6657632,-2.95%
28-04-2020,341.9554883,347.8521118,349.1814579,-2.11%
29-04-2020,341.2304893,358.0986938,359.3962134,-5.32%
30-04-2020,369.2636052,367.4752808,368.743676,0.14%
04-05-2020,347.0304403,326.7789307,328.1737315,5.43%
05-05-2020,336.3972213,319.8190308,321.2354495,4.51%
06-05-2020,320.4473281,330.0172424,331.4019848,-3.42%
07-05-2020,325.7639425,325.5222778,326.9209819,-0.36%
08-05-2020,332.53055,326.4406128,327.8364644,1.41%
11-05-2020,329.6306083,309.475769,310.9243146,5.67%
12-05-2020,307.6874196,310.4907532,311.9361461,-1.38%
13-05-2020,332.0472319,326.7789307,328.1737315,1.17%
14-05-2020,318.997327,316.4840088,317.9107863,0.34%
15-05-2020,318.320689,311.9407654,313.3816545,1.55%
18-05-2020,309.3307684,288.5476074,290.0611573,6.23%
19-05-2020,296.8125127,290.2875671,291.7957125,1.69%
20-05-2020,289.030954,295.4592285,296.9513104,-2.74%
21-05-2020,295.7975141,294.2508545,295.7466897,0.02%
22-05-2020,290.9642112,281.3459473,282.8818659,2.78%
26-05-2020,286.1792617,282.940979,284.4719434,0.60%
27-05-2020,286.2275753,308.2190552,309.6715042,-8.19%
28-05-2020,311.5057568,315.9523926,317.3808213,-1.89%
29-05-2020,312.1340465,320.8823242,322.2954403,-3.26%
01-06-2020,327.6973002,327.9389648,329.3301625,-0.50%
02-06-2020,325.7639421,336.783844,338.1475689,-3.80%
03-06-2020,345.9670976,344.9521179,346.2904716,-0.09%
04-06-2020,345.0971488,336.2522278,337.6176039,2.17%
05-06-2020,338.3304826,345.2904358,346.6277386,-2.45%
08-06-2020,354.3287179,347.803772,349.1332682,1.47%
09-06-2020,348.0454381,336.9288635,338.2921379,2.80%
10-06-2020,336.9288565,341.2304993,342.5804125,-1.68%
11-06-2020,340.6988417,329.8722534,331.2574461,2.77%
12-06-2020,313.3907351,332.7239075,334.1002428,-6.61%
15-06-2020,329.8239267,320.0606689,321.4763371,2.53%
16-06-2020,330.8389216,331.5155945,332.8956829,-0.62%
17-06-2020,327.3106075,330.5489197,331.9320106,-1.41%
18-06-2020,328.6639508,340.263855,341.6167707,-3.94%
19-06-2020,339.2971911,351.6704102,352.9878963,-4.04%
22-06-2020,354.7636987,355.2953491,356.601576,-0.52%
23-06-2020,356.6970092,363.6086121,364.8890174,-2.30%
24-06-2020,367.3302695,336.493866,337.8584915,8.02%
25-06-2020,334.3672152,339.2971802,340.6530984,-1.88%
26-06-2020,343.743822,337.4605408,338.8221638,1.43%
29-06-2020,333.738863,331.660553,333.0401911,0.21%
30-06-2020,335.4305352,339.7321777,341.0867449,-1.69%
01-07-2020,342.4388059,351.9120483,353.228784,-3.15%
02-07-2020,353.7970439,350.7520752,352.0724138,0.49%
03-07-2020,352.492043,348.9637451,350.2896384,0.62%
06-07-2020,355.5853517,349.7854004,351.1087415,1.26%
07-07-2020,350.8971091,363.5119934,364.7926988,-3.96%
08-07-2020,365.3002892,356.6487122,357.9507354,2.01%
09-07-2020,360.9986617,358.0020142,359.299834,0.47%
10-07-2020,352.7337343,348.3354492,349.663294,0.87%
13-07-2020,351.9604325,341.8105164,343.158628,2.50%
14-07-2020,339.7805001,334.0288696,335.4011516,1.29%
15-07-2020,337.8472179,334.2705688,335.6421001,0.65%
16-07-2020,336.3488655,333.1588745,334.5338588,0.54%
17-07-2020,334.4638593,342.0037842,343.3512956,-2.66%
20-07-2020,346.0637713,350.8970642,352.2169525,-1.78%
21-07-2020,358.6303325,366.1702576,367.4427063,-2.46%
22-07-2020,374.0002241,368.3936157,369.6591585,1.16%
23-07-2020,369.795244,379.1718445,380.4039094,-2.87%
24-07-2020,375.3535325,369.0702515,370.3336926,1.34%
27-07-2020,372.1635401,346.5470886,347.8804882,6.52%
28-07-2020,349.0604004,340.3604736,341.7130892,2.10%
29-07-2020,341.4238598,339.34552,340.7012881,0.21%
30-07-2020,341.6171615,333.4489136,334.8229969,1.99%
31-07-2020,334.8988757,335.2371826,336.6057115,-0.51%
03-08-2020,335.2371988,331.8055725,333.1847602,0.61%
04-08-2020,335.4305456,339.2971802,340.6530984,-1.56%
05-08-2020,341.6171565,340.4571838,341.8094991,-0.06%
06-08-2020,341.6654788,346.7887573,348.1214063,-1.89%
07-08-2020,347.4654604,346.0154724,347.3505232,0.03%
10-08-2020,347.5137555,351.4287109,352.7469479,-1.51%
11-08-2020,357.6636595,355.1020203,356.4088476,0.35%
12-08-2020,353.555383,354.6187134,355.9270419,-0.67%
13-08-2020,356.6486723,355.778656,357.0833817,-0.12%
14-08-2020,359.4036775,349.3504333,350.6751255,2.43%
17-08-2020,353.7970686,348.1904602,349.5187554,1.21%
18-08-2020,349.8337658,357.2286987,358.5289205,-2.49%
19-08-2020,361.5303239,361.965332,363.2508415,-0.48%
20-08-2020,354.7637145,355.4887085,356.7943348,-0.57%
21-08-2020,357.6637085,358.7753601,360.0707778,-0.67%
24-08-2020,362.3519572,367.6685791,368.9363739,-1.82%
25-08-2020,369.7469253,373.4685669,374.7183465,-1.34%
26-08-2020,375.2569092,376.3685608,377.6093329,-0.63%
27-08-2020,376.9485228,379.1235046,380.3557197,-0.90%
28-08-2020,380.7668155,396.0400391,397.2197102,-4.32%
31-08-2020,401.0183177,381.4434814,382.6684905,4.58%
01-09-2020,381.5401614,377.9151917,379.1511598,0.63%
02-09-2020,374.3385777,379.316864,380.5484785,-1.66%
03-09-2020,379.3168362,369.9885864,371.2491751,2.13%
04-09-2020,362.4970183,360.1286926,361.4199068,0.30%
07-09-2020,361.6270208,360.9503479,362.23901,-0.17%
08-09-2020,359.983654,363.173645,364.4554014,-1.24%
09-09-2020,358.4370094,355.3437195,356.6497961,0.50%
10-09-2020,359.3070212,358.3403625,359.6371314,-0.09%
11-09-2020,360.5636803,358.1470337,359.4444031,0.31%
14-09-2020,361.0469726,351.5737305,352.891517,2.26%
15-09-2020,351.9120778,359.1620178,360.4562346,-2.43%
16-09-2020,358.9686884,362.2070007,363.4917596,-1.26%
17-09-2020,357.6637107,356.697052,357.9989251,-0.09%
18-09-2020,357.6637069,357.2286987,358.5289205,-0.24%
21-09-2020,354.42539,339.0072021,340.3640211,3.97%
22-09-2020,342.1971742,342.5838318,343.9295415,-0.51%
