Date,Open,Close,Predicted_Open,%_error
01-01-2020,1683.912488,1669.007568,1670.805801,-0.78%
02-01-2020,1674.939513,1666.515015,1668.344687,-0.39%
03-01-2020,1665.916655,1652.108398,1654.11979,-0.71%
06-01-2020,1652.108365,1647.572144,1649.640754,-0.15%
07-01-2020,1656.046609,1665.817017,1667.655493,0.70%
08-01-2020,1649.715784,1649.865356,1651.905041,0.13%
09-01-2020,1668.458921,1660.034424,1661.94584,-0.39%
10-01-2020,1669.057198,1679.625244,1681.289549,0.73%
13-01-2020,1686.903295,1686.005981,1687.589802,0.04%
14-01-2020,1690.891262,1671.749146,1673.512797,-1.03%
15-01-2020,1670.901534,1670.552612,1672.331356,0.09%
16-01-2020,1673.843004,1696.424805,1697.877206,1.44%
17-01-2020,1698.767563,1692.984985,1694.480776,-0.25%
20-01-2020,1703.852177,1613.026611,1615.530966,-5.18%
21-01-2020,1600.165283,1620.204712,1622.618525,1.40%
22-01-2020,1628.280389,1580.724121,1583.635927,-2.74%
23-01-2020,1583.21661,1601.012817,1603.66871,1.29%
24-01-2020,1600.613936,1638.000977,1640.190314,2.47%
27-01-2020,1623.794019,1613.47522,1615.973916,-0.48%
28-01-2020,1615.120275,1621.1521,1623.553963,0.52%
29-01-2020,1628.081035,1635.508545,1637.729321,0.59%
30-01-2020,1632.866742,1623.345459,1625.719656,-0.44%
31-01-2020,1704.500281,1686.654175,1688.22982,-0.95%
03-02-2020,1640.643105,1671.200806,1672.971373,1.97%
04-02-2020,1678.977372,1693.184448,1694.677723,0.94%
05-02-2020,1696.873257,1684.660156,1686.260953,-0.63%
06-02-2020,1688.7976,1668.95752,1670.756383,-1.07%
07-02-2020,1670.702376,1648.070801,1650.133121,-1.23%
10-02-2020,1654.999815,1664.271851,1666.129817,0.67%
11-02-2020,1677.382034,1672.397095,1674.152573,-0.19%
12-02-2020,1675.039271,1709.734497,1711.019015,2.15%
13-02-2020,1709.534983,1684.710083,1686.31025,-1.36%
14-02-2020,1690.891312,1675.886597,1677.59806,-0.79%
17-02-2020,1679.92438,1686.005981,1687.589802,0.46%
18-02-2020,1677.432097,1685.906494,1687.49157,0.60%
19-02-2020,1734.758927,1695.976074,1697.434136,-2.15%
20-02-2020,1692.187368,1680.87146,1682.520046,-0.57%
24-02-2020,1666.963407,1673.19458,1674.939999,0.48%
25-02-2020,1671.150773,1670.752075,1672.528303,0.08%
26-02-2020,1665.069234,1661.480103,1663.373283,-0.10%
27-02-2020,1660.981607,1677.681152,1679.369979,1.11%
28-02-2020,1649.915093,1615.469116,1617.942662,-1.94%
02-03-2020,1626.087081,1594.183472,1596.925507,-1.79%
03-03-2020,1598.96902,1621.401245,1623.799965,1.55%
04-03-2020,1627.283399,1603.106445,1605.735929,-1.32%
05-03-2020,1610.135371,1646.375854,1648.459555,2.38%
06-03-2020,1600.364731,1626.136963,1628.475949,1.76%
09-03-2020,1590.195459,1573.39624,1576.400477,-0.87%
11-03-2020,1571.202811,1584.512695,1587.376714,1.03%
