Date,Open,Close,Predicted_Open,%_error
01-01-2020,315.0345054,314.7991943,315.4232572,-0.12%
02-01-2020,314.8462655,319.3642273,319.9838413,-1.63%
03-01-2020,318.0935503,314.0932617,314.7180125,1.06%
06-01-2020,312.2107732,300.256958,300.8951929,3.62%
07-01-2020,305.3867453,299.6921997,300.330985,1.66%
08-01-2020,293.7623543,301.0099182,301.6474194,-2.68%
09-01-2020,307.6927958,310.7989197,311.426881,-1.21%
10-01-2020,311.5518687,312.7284241,313.354505,-0.58%
13-01-2020,314.3756029,311.3165588,311.9440157,0.77%
14-01-2020,310.4223778,308.7281494,309.3581288,0.34%
15-01-2020,309.6693971,305.1984863,305.8319055,1.24%
16-01-2020,304.9631733,304.3042908,304.9385814,0.01%
17-01-2020,294.6095126,299.3157349,299.9548871,-1.81%
20-01-2020,302.1394617,295.5507507,296.1935721,1.97%
21-01-2020,295.362473,295.2683716,295.9114681,-0.19%
22-01-2020,298.3744653,297.5744019,298.2152511,0.05%
23-01-2020,297.433204,304.2101746,304.8445569,-2.49%
24-01-2020,304.4925505,305.0102234,305.643826,-0.38%
27-01-2020,302.0452909,297.62146,298.2622633,1.25%
28-01-2020,299.2686421,296.5860901,297.2279025,0.68%
29-01-2020,299.1745173,297.856781,298.497355,0.23%
30-01-2020,298.139127,292.4446106,293.090459,1.69%
31-01-2020,295.2683775,299.7392883,300.3780278,-1.73%
03-02-2020,285.1970527,280.5849609,281.2423671,1.39%
04-02-2020,285.102929,288.2561035,288.9060338,-1.33%
05-02-2020,288.8678822,292.7269897,293.372563,-1.56%
06-02-2020,292.9152536,303.0336304,303.6691593,-3.67%
07-02-2020,302.610075,301.7158813,302.3526945,0.09%
10-02-2020,301.009922,299.7863159,300.4250095,0.19%
11-02-2020,302.186479,305.2926025,305.92593,-1.24%
12-02-2020,310.5165282,301.3864746,302.0236088,2.74%
13-02-2020,303.0806864,308.2104797,308.8409636,-1.90%
14-02-2020,308.8222911,300.6334534,301.2713214,2.45%
17-02-2020,302.0923825,295.7389832,296.3816211,1.89%
18-02-2020,296.8684811,298.8921509,299.5317159,-0.90%
19-02-2020,303.3630276,301.5276184,302.164615,0.40%
20-02-2020,300.5863954,308.3987122,309.0290126,-2.81%
24-02-2020,306.610326,303.9748535,304.6094652,0.65%
25-02-2020,306.7515491,307.5986633,308.2297434,-0.48%
26-02-2020,305.763238,308.9164124,309.5462083,-1.24%
27-02-2020,308.7281472,303.0336304,303.6691593,1.64%
28-02-2020,293.6682201,285.1970215,285.849933,2.66%
02-03-2020,292.7269825,270.5136108,271.180832,7.36%
03-03-2020,275.7846163,272.8197021,273.4846759,0.83%
04-03-2020,274.6550753,268.5369873,269.2061348,1.98%
05-03-2020,273.8079613,271.5489807,272.2151929,0.58%
06-03-2020,252.2535021,254.6066132,255.2893364,-1.20%
09-03-2020,244.7705843,238.5583801,239.2567431,2.25%
11-03-2020,238.13483,230.6990051,231.4050275,2.83%
12-03-2020,218.2745718,200.1085663,200.8444004,7.99%
13-03-2020,188.2488787,227.7811432,228.4900091,-21.38%
16-03-2020,214.5095945,210.226944,210.9529173,1.66%
17-03-2020,213.850726,202.508728,203.2422231,4.96%
18-03-2020,208.0150064,202.5557861,203.2892353,2.27%
19-03-2020,191.0255343,191.6844025,192.4284463,-0.73%
20-03-2020,193.4727878,197.5201416,198.2584983,-2.47%
23-03-2020,178.8364401,170.9299927,171.6942626,3.99%
24-03-2020,179.7306024,172.4359589,173.1987612,3.63%
25-03-2020,167.5415067,178.7423096,179.4989661,-7.14%
26-03-2020,180.2953753,181.4248657,182.178908,-1.04%
27-03-2020,190.1313598,184.4368286,185.1879356,2.60%
30-03-2020,178.8364271,175.9185638,176.6779722,1.21%
31-03-2020,180.718925,185.2839661,186.0342474,-2.94%
01-04-2020,182.6013937,175.5891266,176.348856,3.42%
03-04-2020,176.5303824,165.188385,165.9582504,5.99%
07-04-2020,173.5654484,175.447937,176.207804,-1.52%
08-04-2020,172.153581,172.2477112,173.010697,-0.50%
09-04-2020,176.953939,176.7186279,177.4772566,-0.30%
13-04-2020,175.8244472,172.718338,173.4808652,1.33%
15-04-2020,176.0126904,171.63591,172.3994921,2.05%
16-04-2020,171.3064723,177.4245605,178.1825013,-4.01%
